FORMULA,Test temperature (K),Yield Stress (MPA)
CoFeNi,298.0,204.0
CoFeNi,298.0,209.0
CoCrFeNi,298.0,274.0
CoCrMnNi,298.0,282.0
CoCrNi,298.0,300.0
CoFeMnNi,298.0,170.0
CoFeNi,298.0,211.0
CoMnNi,298.0,231.0
FeMnNi,298.0,221.0
CoCrFeNi,298.0,148.0
CoCrFeMnNi,298.0,208.0
CoCrFeMnNi,298.0,230.0
CoCrCuFeNiTi,298.0,1272.0
CoCrCuFeNi,298.0,230.0
AlCuFeNiTi,298.0,1074.0
AlCuNiTi,298.0,300.0
CoCrFeMnNi,298.0,370
CoCrFeNi,298.0,190
CoCrFeMnNi,298.0,230
CoCrFeMnNi,298.0,1120
CoCrFeMnNi,77.0,1692
CrCoNi,298.0,1100
CrCoNi,298.0,597
CrCoNi,298.0,346
CrMnFeCoNi,298.0,210
CrMnFeCoNi,298.0,1150
CrMnFeCoNi,298.0,1300
CoCrFeMnNi,298.0,300
CoCrFeMnNi,298.0,800
CoCrFeNi,293.0,446
CoCrFeNi,200.0,488
CoCrFeNi,77.0,590
CoCrFeNi,4.199999999999989,680
CoCrFeMnNi,298.0,216
FeCoCrNiMn,298.0,378.7
CoCrFeMnNi,298.0,293.1
CoNiFe,298.0,276
CoNiFe,298.0,217
CoNiFe,298.0,201
FeMnNi,298.0,529
FeMnNi,298.0,522
FeMnNi,298.0,460
FeMnNi,298.0,407
FeMnNi,298.0,372
FeMnNi,298.0,322
CoMnNi,298.0,333
CoMnNi,298.0,601
CoMnNi,298.0,321
CoMnNi,298.0,267
CoCrFeNi,298.0,631
CoCrFeNi,298.0,494
CoCrFeNi,298.0,448
CoCrFeNi,298.0,273
CoCrFeNi,298.0,172
FeCrCoMnNi,298.0,210
FeCrCoMnNi,298.0,1150
FeCrCoMnNi,298.0,1300
FeCrCoMnNi,298.0,520
FeCrCoMnNi,298.0,320
FeCrCoMnNi,298.0,280
CoCrFeNi,298.0,163
CrMnFeCoNi,298.0,353
FeCoCrNiMn,298.0,1199.26
FeCoCrNiMn,298.0,1269.23
FeCoCrNiMn,298.0,1371.21
FeCoCrNiMn,298.0,1362.74
FeCoCrNiMn,298.0,1241.81
FeCoCrNiMn,298.0,930.3
FeCoCrNiMn,298.0,729.21
FeCoCrNiMn,298.0,494.82
FeCoCrNiMn,298.0,366.88
FeCoCrNiMn,298.0,290.65
FeCoCrNiMn,298.0,258.76
CoCrCuFeNi,298.0,300
